nohup: ignoring input
Evaluation scenes: 312
Loaded ScanNetDepthDataset: 54090 samples.
Loading weights from local directory
[foundation_vggt] step 5020/6762 abs_rel=0.1776
[foundation_vggt] step 5040/6762 abs_rel=0.1410
[foundation_vggt] step 5060/6762 abs_rel=0.1306
[foundation_vggt] step 5080/6762 abs_rel=0.2706
[foundation_vggt] step 5100/6762 abs_rel=0.2482
[foundation_vggt] step 5120/6762 abs_rel=0.3161
[foundation_vggt] step 5140/6762 abs_rel=0.1408
[foundation_vggt] step 5160/6762 abs_rel=0.2628
[foundation_vggt] step 5180/6762 abs_rel=0.2081
[foundation_vggt] step 5200/6762 abs_rel=0.0731
[foundation_vggt] step 5220/6762 abs_rel=0.1656
[foundation_vggt] step 5240/6762 abs_rel=0.2013
[foundation_vggt] step 5260/6762 abs_rel=0.1920
[foundation_vggt] step 5280/6762 abs_rel=0.3157
[foundation_vggt] step 5300/6762 abs_rel=0.2936
[foundation_vggt] step 5320/6762 abs_rel=0.2102
[foundation_vggt] step 5340/6762 abs_rel=0.0869
[foundation_vggt] step 5360/6762 abs_rel=0.2817
[foundation_vggt] step 5380/6762 abs_rel=0.1345
[foundation_vggt] step 5400/6762 abs_rel=0.2369
[foundation_vggt] step 5420/6762 abs_rel=0.1927
[foundation_vggt] step 5440/6762 abs_rel=0.1424
[foundation_vggt] step 5460/6762 abs_rel=0.1916
[foundation_vggt] step 5480/6762 abs_rel=0.1654
[foundation_vggt] step 5500/6762 abs_rel=0.2598
[foundation_vggt] step 5520/6762 abs_rel=0.1429
[foundation_vggt] step 5540/6762 abs_rel=0.1947
[foundation_vggt] step 5560/6762 abs_rel=0.1319
[foundation_vggt] step 5580/6762 abs_rel=0.2340
[foundation_vggt] step 5600/6762 abs_rel=0.1200
[foundation_vggt] step 5620/6762 abs_rel=0.0924
[foundation_vggt] step 5640/6762 abs_rel=0.0215
[foundation_vggt] step 5660/6762 abs_rel=0.0140
[foundation_vggt] step 5680/6762 abs_rel=0.0271
[foundation_vggt] step 5700/6762 abs_rel=0.1050
[foundation_vggt] step 5720/6762 abs_rel=0.1342
[foundation_vggt] step 5740/6762 abs_rel=0.2594
[foundation_vggt] step 5760/6762 abs_rel=0.1437
[foundation_vggt] step 5780/6762 abs_rel=0.1277
[foundation_vggt] step 5800/6762 abs_rel=0.1277
[foundation_vggt] step 5820/6762 abs_rel=0.2446
[foundation_vggt] step 5840/6762 abs_rel=0.1306
[foundation_vggt] step 5860/6762 abs_rel=0.2033
[foundation_vggt] step 5880/6762 abs_rel=0.0968
[foundation_vggt] step 5900/6762 abs_rel=0.1208
[foundation_vggt] step 5920/6762 abs_rel=0.3241
[foundation_vggt] step 5940/6762 abs_rel=0.1128
[foundation_vggt] step 5960/6762 abs_rel=0.2631
[foundation_vggt] step 5980/6762 abs_rel=0.4349
[foundation_vggt] step 6000/6762 abs_rel=0.2096
[foundation_vggt] step 6020/6762 abs_rel=0.1928
[foundation_vggt] step 6040/6762 abs_rel=0.1400
[foundation_vggt] step 6060/6762 abs_rel=0.0930
[foundation_vggt] step 6080/6762 abs_rel=0.2759
[foundation_vggt] step 6100/6762 abs_rel=0.1658
[foundation_vggt] step 6120/6762 abs_rel=0.1637
[foundation_vggt] step 6140/6762 abs_rel=0.1431
[foundation_vggt] step 6160/6762 abs_rel=0.1937
[foundation_vggt] step 6180/6762 abs_rel=0.1227
[foundation_vggt] step 6200/6762 abs_rel=0.1875
[foundation_vggt] step 6220/6762 abs_rel=0.1568
[foundation_vggt] step 6240/6762 abs_rel=0.1025
[foundation_vggt] step 6260/6762 abs_rel=0.1520
[foundation_vggt] step 6280/6762 abs_rel=0.1790
[foundation_vggt] step 6300/6762 abs_rel=0.1739
[foundation_vggt] step 6320/6762 abs_rel=0.2023
[foundation_vggt] step 6340/6762 abs_rel=0.1266
[foundation_vggt] step 6360/6762 abs_rel=0.1711
[foundation_vggt] step 6380/6762 abs_rel=0.1372
[foundation_vggt] step 6400/6762 abs_rel=0.1342
[foundation_vggt] step 6420/6762 abs_rel=0.3051
[foundation_vggt] step 6440/6762 abs_rel=0.2531
[foundation_vggt] step 6460/6762 abs_rel=0.0868
[foundation_vggt] step 6480/6762 abs_rel=0.3047
[foundation_vggt] step 6500/6762 abs_rel=0.1093
[foundation_vggt] step 6520/6762 abs_rel=0.3365
